stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:43:7165:0:3","Schwarzenau Bahnhof","48.7461700595885","15.2671557166274",""
"at:43:7166:0:1","Vitis Bahnhof","48.7530230304962","15.1728505780874",""
"at:43:7166:0:4","Vitis Bahnhof","48.7529874945964","15.1728775275459",""
"at:43:7167:0:1","Hirschbach bei Gmünd Bahnhof","48.7492797776022","15.1270005659796",""
"at:43:7168:0:4","Pürbach-Schrems Bahnhof","48.7635583162729","15.0846719497859",""
"at:43:7169:0:1","Gmünd Bahnhof","48.764310329185","14.9858482853662",""
"at:43:7169:0:3","Gmünd Bahnhof","48.7644998109773","14.9835306319329",""
"at:43:7169:0:6","Gmünd Bahnhof","48.7641682173716","14.9858662516719",""
"at:43:7169:0:7","Gmünd Bahnhof","48.7641326893554","14.9858662516719",""
"at:43:7211:0:1","St. Pantaleon Bahnhof","48.2277900885754","14.5286237719914",""
"at:43:7222:0:2","Prinzersdorf Bahnhof","48.2032904288433","15.5253135630136",""
"at:43:7222:0:3","Prinzersdorf Bahnhof","48.2031706851342","15.5260681478524",""
"at:43:7222:0:4","Prinzersdorf Bahnhof","48.2029850818318","15.5261939119922",""
"at:43:7223:0:1","Markersdorf an der Pielach Bf.","48.19630291504","15.4966573054462",""
"at:43:7223:0:2","Markersdorf an der Pielach Bf.","48.1958598014822","15.4981125762067",""
"at:43:7223:0:3","Markersdorf an der Pielach Bf.","48.1958657895288","15.4982113908879",""
"at:43:7223:0:4","Markersdorf an der Pielach Bf.","48.1963927348886","15.4965854402235",""
"at:43:7224:0:1","Großsierning Bahnhof","48.1877932673452","15.4567361742144",""
"at:43:7224:0:2","Großsierning Bahnhof","48.1881406275672","15.4567271910615",""
"at:43:7225:0:1","Loosdorf/Melk Bahnhof","48.1949615865673","15.4046159214225",""
"at:43:7225:0:3","Loosdorf/Melk Bahnhof","48.1951232664141","15.4047327024094",""
"at:43:7225:0:4","Loosdorf/Melk Bahnhof","48.1949196694867","15.404588971964",""
"at:43:7226:0:2","Melk Bahnhof","48.2246003496854","15.3308283039746",""
"at:43:7226:0:5","Melk Bahnhof","48.2246601965226","15.3318883160101",""
"at:43:7226:0:7","Melk Bahnhof","48.2247080739419","15.3308462702803",""
"at:43:7227:0:1","Pöchlarn Bahnhof","48.2082116531114","15.2162751389278",""
"at:43:7227:0:3","Pöchlarn Bahnhof","48.208403224056","15.2166344650415",""
"at:43:7227:0:6","Pöchlarn Bahnhof","48.2081098807556","15.2163020883863",""
"at:43:7227:0:7","Pöchlarn Bahnhof","48.2079123220758","15.216373953609",""
