origin_stop_id,reachable_stop_id,walking_time
at:47:50037:0,at:47:50038:0,0 days 00:04:03.194263199
at:47:50037:0,at:47:50079:0,0 days 00:04:58.382616
at:47:50037:0,at:47:64966:0,0 days 00:04:01.671646800
at:47:50038:0,at:47:50037:0,0 days 00:04:03.194263199
at:47:50038:0,at:47:50079:0,0 days 00:03:16.226197200
at:47:50049:0,at:47:62151:0,0 days 00:02:39.244506
at:47:50049:0,at:47:62360:0,0 days 00:04:56.015446800
at:47:50049:0,at:47:64356:0,0 days 00:01:33.288531600
at:47:50049:0,at:47:80881:0,0 days 00:03:08.353562400
at:47:50050:0,at:47:50077:0,0 days 00:01:56.671345200
at:47:50051:0,at:47:50065:0,0 days 00:04:55.660047600
at:47:50051:0,at:47:62069:0,0 days 00:01:45.951214800
at:47:50052:0,at:47:50076:0,0 days 00:04:44.978844
at:47:50052:0,at:47:62077:0,0 days 00:02:31.339489200
at:47:50056:0,at:47:62087:0,0 days 00:03:54.997624799
at:47:50059:0,at:47:64097:0,0 days 00:03:14.158116
at:47:50060:0,at:47:50061:0,0 days 00:04:50.078157600
at:47:50060:0,at:47:50062:0,0 days 00:02:20.197399200
at:47:50061:0,at:47:50060:0,0 days 00:04:50.078157600
at:47:50062:0,at:47:50060:0,0 days 00:02:20.197399200
at:47:50062:0,at:47:64103:0,0 days 00:03:43.983702
at:47:50063:0,at:47:64101:0,0 days 00:04:27.552666
at:47:50064:0,at:47:64101:0,0 days 00:02:22.024032
at:47:50065:0,at:47:50051:0,0 days 00:04:55.660047600
at:47:50065:0,at:47:62070:0,0 days 00:02:47.904907200
at:47:50066:0,at:47:50067:0,0 days 00:03:36.210117600
at:47:50066:0,at:47:62070:0,0 days 00:03:54.393922800
at:47:50066:0,at:47:62071:0,0 days 00:01:30.521391600
at:47:50066:0,at:47:62072:0,0 days 00:04:09.509239200
at:47:50067:0,at:47:50066:0,0 days 00:03:36.210117600
at:47:50067:0,at:47:62071:0,0 days 00:03:53.334468
